Answer,Answer.f1.angry.raw,Answer.f1.anxious.raw,Answer.f1.bored.raw,Answer.f1.calm.raw,Answer.f1.confused.raw,Answer.f1.disgusted.raw,Answer.f1.excited.raw,Answer.f1.frustrated.raw,Answer.f1.happy.raw,Answer.f1.nostalgic.raw,Answer.f1.proud.raw,Answer.f1.sad.raw,Answer.f1.satisfied.raw,Answer.f1.surprised.raw
"Yesterday I had to go to the dentist and was worried about my oral health. You see, 3 months ago, when I went for my teeth cleaning, the checkup was not so good so I was worried it might be even worse, so I was anxious heading into the appoointment.",False,True,False,False,False,False,False,False,False,False,False,False,False,False
"Yesterday I did some research about getting my calendars printed out-- what they will cost, different methods. I think this project is really going to be doable.",False,False,False,False,False,False,True,False,True,False,True,False,False,False
Yesterday I completed 16 surveys. I was satisfied with work.,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Yesterday despite feeling sluggish,False,False,False,False,False,False,False,False,True,False,True,False,True,False
"Working for slave wages and getting screwed and exploied every day, seven days a week, is driving me nuts.  I hate it.  Why can there be any decent requestors who pay a living wage?",True,True,False,False,False,False,False,True,False,False,False,False,False,False
Working being able to use my skills and knowledge for the benefit and growth of our company.,False,False,False,False,False,False,False,False,False,False,True,False,False,False
"Work was very demanindg yesteday it required me to work extyra long in order to finish the project that was under way when I started the week. We as a team were on a tight deadline and in  order to finish we were really all working hard. It was amazing, interesting and so much fun I havent had htis much fun at work ever.",False,False,False,True,False,False,True,False,True,False,False,False,False,False
"Work was long today. I did a lot of different projects at 2 different stores. It was frustrating some of the time, but the fact that I finished everything gave me a sense of accomplishment.",False,False,False,False,False,False,False,True,False,False,False,False,True,False
Work made me feel like I had a purpose but also frustrated and annoyed because there are so many things going on at once.,False,True,False,False,False,False,False,True,False,False,True,False,False,False
Work is salient because doing it allows me to earn money so I can pay bills and not starve to death. I felt satisfied with the amount of work I was able to put in to my work project yesterday.,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Work is rather salient because I spend the majority of my day there. Nothing particularly exciting or interesting really happened there but it was fairly busy as it usually is. Given that we're federal employees who are excepted from the furlough but not being paid to work we spent a lot of our day talking about the shut down and what if anything Trump is doing to attempt to alleviate it.,True,True,False,False,False,False,False,False,False,False,False,False,False,False
"Work is probably the most important and salient thing I do. It's not very exciting and can be very frustrating, but it provides me with an income to pursue other things I care about more. However, since it was just a Wednesday, I didn't really have anything else going on.",False,False,True,False,False,False,False,True,False,False,False,False,False,False
when nothing goes right I know God is there with me. He is there to lift me up. he's always there to talk to and never judges me. I love him and always blessed for the blessing he gives,False,False,False,True,False,False,False,False,True,False,False,False,True,False
"What was most salient about my day yesterday, was spending quality time with my children. Together, we raked the leaves outside in the yard and shared laughter and joy.",False,False,False,False,False,False,False,False,False,False,False,False,True,False
Went grocery shopping with my mom. Got a flu shot while I was there.,False,False,False,False,False,False,False,False,True,False,False,False,True,False
we had such a good time it was nice and felt very nice he was very loving,False,False,False,False,False,False,False,False,True,False,False,False,False,False
We had friends surprise us with a visit. We haven't seen them over 2 years. We were all so excited! They are from Hawaii and it is snowing here so we got to play in the snow with them and build a snowman!,False,False,False,True,False,False,True,False,True,True,True,False,True,False
"we had a pretty big extracation that i performed well on.  i carried out my duties pretty well, and was self directed at all of it. I felt proud of myself for functioning like I've been there and done that before.",False,True,False,False,False,False,True,False,False,False,True,False,False,False
Was able to eat some of my favorite food so i was pretty happy and excited and couldnt wait to eat it.,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Waking up rereshed and having a great conversation with my wife.  We talked all day and it never ceased to be insightful and amazing,False,False,False,False,False,False,False,False,True,False,False,False,True,False
"Upon picking up my only child from school, she gave me the amazing news, she was chosen to be in Honors quiet. Dad and I are so happy and proud of her. We dont know how we are going to squeeze in Choir rehearsals with her ballet rehearsals but we will figure it out. Dad and i are taking sunday off, so we can go and celebrate her invitation. We are so busy with life, that we need to start to take and make time for each other. i find it curious that this survey came up, when my first thought this morning was, how bless i am to have my family, how quickly time is passing, and how to make time for each other.",False,False,False,False,False,False,True,False,True,False,True,False,True,False
"Trying to help my mother-in-law find a home, but it's kind of awkward because I feep like she wants to live with us.",False,False,False,False,True,False,True,False,True,False,False,False,False,False
Today we had my favorite food in the whole world for dinner!  Pepperoni pizza from Angelo's Pizza Parlour.  It always makes my day when we have pizza!,False,False,False,True,False,False,False,False,False,False,False,False,True,False
"Today was a very busy day at work.  We had corporate visitors and had to be on our best behavior.  I also had to make a prewsentation about my section to the corporate people.  It went well, and I glad to be done with it.",False,False,False,True,False,False,False,False,False,False,False,False,False,False
Today was a blessed day as I had God in my heart! It was a good day as it was a day of appreciation for everything I have in this life!,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Today is a memorable day. Ananya performed a hul hoop dance in her school talent show her first ever performance outside home in all of her seven years.,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Today I was very sick. It seems everybody I know has a cold and I thought I was above it but no. I had some orange juice and went back to bed. Not a good day.,False,False,False,False,False,True,False,True,False,False,False,True,False,False
Today I was able to make $18 on mturk. New record for a day. It took from 6AM till about 8PM. Once I got to $15 I kept going to see how much I could make but the hits dried up.,False,False,False,False,False,False,False,False,True,False,False,False,True,True
Today I spent time with a student at work who is volunteering at the hospital.  She is working on her MSW and we discussed her graduations project.,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Today I had a good and easy day. Everything in the department was taken care of and no new issues came up.,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Today I feel sad at work. I feel anxious because I have too much to do. I feel so overwhelmed,False,True,False,False,False,False,False,False,False,False,False,True,False,False
"Today at work I had the chance to catalog a $40k book which was a prized possession of my boss. It was just about falling apart but I was able to flip through, translate some German and get it up online for sale. My boss was pleased.",False,False,False,False,False,False,False,False,False,False,True,False,False,False
This would be kayaking with my dog.  There is nothing more peaceful than taking the boat out on the water with my best pal and just enjoying the peace and tranquility of the water and the breeze.  It make a horrible day at work just melt away.,False,False,False,True,False,False,False,False,True,False,False,False,True,False
This week has been going great. I've established good relationships with all my friends and I feel like I'm at a place where I feel loved and supported by everyone who I know. I'm hanging out with people more and it just makes me happy that a lot of people want to hang out with me to. It's always a fun time to go out and get food which is something that I do a lot.,False,False,False,False,False,False,True,False,True,False,False,False,True,False
"There was an incident with my spouse where he was trying to restrain our dog that recently had surgery when we were going to feed him. Unfortunately, the dog reared his head back and hit my spouse in the mouth and knocked out his dental crown. This situation surprised me and made me anxious/frustrated because my spouse was really upset and now we'd have additional expenses to fix his dental work.",False,True,False,False,False,False,False,True,False,False,False,False,False,True
The salient thing i did yesterday was spending time with family. My husband was at home yesterday for two days then he will work again for 5 days. So we always make sure we spend quality time together as a family when he is at home.,False,False,False,False,False,False,True,False,True,False,False,False,True,False
The night before last i.e. yesterday morning I slept for over 10 hours straight which is not normally a thing I ever do like ever. Unfortunately I felt like absolute crap as the result of having caught something most likely the flu so I did not feel great at all in fact I felt like total crap. Cough crap in my throat crap in my lungs the whole bit. I was a bit worried I was going to wake up feeling way sicker but that didn't stop the fact that I absolutely needed to crash at like 8 PM. So I did. Woke up feeling sooo much more refreshed. Still sick but not nearly as bad. 10 hours of sleep was what I needed I guess. Still sick though.,False,True,False,False,False,False,False,False,False,False,False,False,True,False
"The most salient thing yesterday was relationship to my family. I talked to my daughter in the morning, to my son in the afternoon, and spent all day with my wife. I had a very enjoyable wonderful day.",False,False,False,False,False,False,False,False,True,True,False,False,True,False
The most salient thing I felt yesterday was loving life. I for the most part feel blessed in all that I have accomplished in life and am very grateful,False,False,False,False,False,False,False,False,True,False,False,False,False,False
The most salient thing from yesterday was my 8-mile hike. I had the day off work so I decided to hit the hiking trails in my town. I spent a few hours hiking 8 miles in the Ozark Mountains. The day was warm and beautiful. Feeling the sun on my back felt good.,False,False,False,False,False,False,True,False,True,False,False,False,True,False
"The most salient thing from yesterday was how we are a family (wife and 3 kids) but as of recent we have been very distant from each other so the household is cold and callous. Just last month our house was loud and boisterous, now its silent and uncomfortable.",False,False,False,False,False,False,False,False,False,False,False,True,False,False
"The most salient thing about my day yesterday was recreation, or maybe I should say, the lack thereof. I was so distracted and bored yesterday, I couldn't find anything to keep myself occupied with all day long. I was antsy most of the day and it was entirely frustrating. I tried to talk to a few friends about it, maybe make some plans to do something, but they were all otherwise engaged for the day, which made it even more frustrating. I really need to calm my mind so I can focus on something, get immersed in it. That'll help the anxiety and the boredom.",False,True,True,False,False,False,False,True,False,False,False,False,False,False
"The most noticeable and important thing in my life yesterday was the reconciliation with my ex-partner. We officially became a couple and spent a lot of time together becoming closer, and sharing our thoughts and ideas, and taking care of one another. I felt happy and hopeful that this time everything would work out for the best.",False,False,False,False,False,False,False,False,True,True,False,False,True,False
The most important thing in my life is always God or my salvation. It makes me feel calm or at peace knowing no matter what life throws at me he is on the throne fighting my battles for me and I am going to be okay,False,False,False,True,False,False,False,False,False,False,False,False,False,False
THE MARKETING TEAM MET TO REVIEW AND REVISE OUR MARKETING PROGRAM FOR THE COMPANY. THE PROGRESS WE MADE WAS EXCLENT AND I AM PROUD BEING THE LEADER OF THIS TEAM.,False,False,False,False,False,False,True,False,False,False,True,False,True,False
The kids had a half day at school and went for a hang out at different friend's homes.  I picked them up after work and both friends are from affluent families - we are not and the process of entering large mansions and speaking with the other parents makes me a bit anxious.,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The food was wonderful.  it was Chinese food from the local restaurant.  i had chicken teriaki french fries and sauteed brocolli in a lovely sauce.  the meat was sp juicy and moist.  the fries were to golden perfection and the sauce on the brocolli was outstanding.  i was so satisfied and sated afterward.  it made my day complete.,False,False,False,False,False,False,True,False,True,False,False,False,True,False
the food I made was good and made me happy and enjoy my day,False,False,False,False,False,False,True,False,True,False,True,False,False,False
The day was great and I wish it would never end.  Life couldn't be any better.,False,False,False,True,False,False,False,False,True,False,False,False,False,False
That small things dont matter. That you should be thankful for the person that loves you and that you love.,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Taking care of my family especially my kids is the most important responsibility I do. It brings me joy and happiness being able to spend time with my family.,False,False,False,False,False,False,False,False,True,False,False,False,True,False
Spending time with my family meaning my spouse and children gives me so much joy. Being older and having young chilldren gives me an appreciation of every moment with them. It has also given me a real focus on what is important. I never want to be a disappointment to them but instead be an example.,False,False,False,False,False,False,False,False,True,False,False,False,False,False
"Spending time with my family makes me happy, I am so grateful for them. I feel lucky to have been so blessed.",False,False,False,False,False,False,False,False,True,False,True,False,True,False
spending time with my family is what I do everyday. its something that makes me really happy,False,False,False,False,False,False,False,False,True,False,True,False,True,False
Spending time with my daughter and my husband was the most salient thing I did yesterday.  I was out of town for the weekend and was very excited to have some time to catch up with them and just hang out and relax together.,False,False,False,True,False,False,False,False,True,False,False,False,True,False
Sleep is an important part of my day because it is important to my health well being and my daily funtioning. I was very tired yesterday and I fell asleep earlier than I had planned. I was planning to wake up to watch something but I fell back asleep. I was awoken again a little while later with serious pain in my one eye. At times my eyes can be sensitive when I have a cold settle in one or both of them. Two more times I was woken up by the eye pain. It was bad and I was super tired. So I got to go back to sleep for a little while longer.,False,False,False,False,False,False,False,False,True,False,False,False,True,False
"seeing them happy makes me happy, the do everything in their power to make me happy also and we live as one, shared most of the things we have together, always there for ourselvea",False,False,False,False,False,False,False,False,True,False,False,False,False,False
"Once again I was reminded of how awesome my wife is. She surprised me after work with a special whiskey tasting for Macallan scotch. It lasted two hours, with live music and of course lots of great whiskey.",False,False,False,False,False,False,False,False,True,False,True,False,True,False
"My work yesterday involved working around the yard, mowing, trimming branches and bushes, sweeping the walk and patio and finally cleaning and refillling all of the bird feeders.  It is very enjoyable work for me.  I love being outdoors.  It's also exercise as I built up a sweat once or twice.  When I was through, it looked and felt like a good accomplishment.  The yard looks great and our curb appeal is really good.",False,False,False,True,False,False,False,False,False,False,True,False,True,False
My work is what keeps me going. It makes me useful  providing a platform for me to offer my services.,False,False,False,True,False,False,True,False,False,False,True,False,False,False
My work is something that I have to do in order to enjoy life and allow other things to prosper. I feel good about the outcome.,False,False,True,False,False,False,False,False,False,False,False,False,True,False
"My work is salient on most days. I feel happy, proud, and satisfied. My job is very important to me, and I feel very positive about my job.",False,False,False,False,False,False,False,False,True,False,True,False,True,False
My wife is the most important thing in my life.  When I get home it is her smiling face that makes me glad I am alive.,False,False,False,True,False,False,False,False,True,False,False,False,True,False
My wife has 4th stage cancer and is going through chemo every 3 weeks.  In the 2nd week after the last chemo treatment she is her normal self and able  to cook.  So yesterday for dinner we had a good cooked meal that was delicious as she knows how to cook and it also was a sign of some normalcy coming back for her in her life.,False,False,False,True,False,False,True,False,True,False,True,False,True,True
My wife and I made a pot of chili with venison spicy sausage. It was the perfect meal for a crisp evening. Some of the best chili I ever had.,False,False,False,False,False,False,False,False,True,False,False,False,False,False
"My spouse woke me up with a surprise breakfast in bed since we were taking the morning off and then we spent time cuddling in bed together. Our ""date night"" was seeing a horror movie together in the early afternoon and we spent time holding hands, watching a movie, and then we went out to a late lunch. I felt so lucky and so thrilled to be able to spend the morning with the most amazing person in my life. My best friend and spouse makes me feel loved and I spent the day feeling so content and giddy, just like when we were in high school. I had an amazing morning filled with love and laughter!",False,False,False,True,False,False,False,False,True,True,False,False,True,True
My sister's 29th birthday also 8 yeas sober for her.,False,False,False,False,False,False,False,False,True,True,True,False,False,False
My parents both helped me out big time with the house that myself and my wife just bought.  they have watched our son and helped wit the work quite a bit.  I am very thankful for them.,False,False,False,True,False,False,False,False,True,False,True,False,False,False
My parents are planning to sell their house so yesterday they were talking to their realtor. I was helping out my parents cleaning the house to make sure that it looks its best.,False,False,False,True,False,False,False,False,False,False,False,False,False,False
My oldest daughter told me she was moving closer to where i live. It made me happy to know I'd get to see her more often now.,False,False,False,False,False,False,False,False,True,False,False,False,False,False
My new exercise routine is a new dog! We walk literally miles and its great! Right now walking and house training her is the most important part of my day!,False,False,False,True,False,False,False,False,True,False,False,False,True,False
My mother makes batches of soups and chili's during the summer and stores them. It always s happy time when she breaks one out for dinners.,False,False,False,False,False,False,False,False,True,False,False,False,False,False
"My morning routines start with Centering Prayer for 20 minutes, then I pray Lauds to connect me with the prayer of the whole church, Next a type a page into my journal then I simply hangout with God for the last half hour. By this time I am calm and ready for connecting with my housemates. Toward the end of the work day we all gather to say Vespers together before celebrating Mass together in the evening. Praising God for all the the blessings and the challenges of the day is truly what I am about.",False,False,False,True,False,False,False,False,False,False,False,False,False,False
My love life is the best thing that I have going for me in my day to day as i work on my goals. I think I found someone special.,False,False,False,True,False,False,True,False,True,False,False,False,False,False
My husband and I continued playing through Horizon Zero Dawn together. The game is turning out to be really great. It's long so it's a little annoying when he's ready to play and I'm not yet but overall it's a really fun activity that we're doing and appreciating together. It gives me many warm fuzzy feelings that I can share an appreciation for art and story with him like that.,False,False,False,True,False,False,False,False,True,False,False,False,True,False
My grandson was born two months before his due date. I got the chance to hold him for the first time yesterday. What a wonderful feeling!,False,False,False,False,False,False,False,False,True,False,False,False,False,False
"My furnace doesn't work. It might cost around $1,500 to replace it, because it is old. I am working my behind off on Amazon Mechanical Turk and eBay to earn the money.",False,True,False,False,False,False,False,True,False,False,False,True,False,False
my friends make me happy just knowing them and they are a very important part of my day,False,False,False,False,False,False,True,False,True,False,True,False,False,False
"My friends came over to rehearse for the show last night and it was wonderful. They got to meet our cat, we ate snacks, and had a great time running lines and blocking. It was the first time they'd been to my place and I was proud to show them my home.",False,False,False,False,False,False,True,False,True,False,False,False,True,False
"My friend recently told me about a promotion he'd gotten. I was proud and happy for him, but I was also jealousy. I've been working on a promotion myself for a year now, and there's no sign it's coming any time soon.",False,False,False,False,False,False,False,False,False,False,True,False,False,False
My family was the most salient thing about my day. My baby boy turned 9 months old today. It made me fee so proud and nostaglic and introspective. I reflect back and feel happiness that I created a beautiful child that is my own family.,False,False,False,False,False,False,False,False,True,True,True,False,False,False
"My family is the most important thing in my life. They provide calm, comfort and love.",False,False,False,True,False,False,False,False,False,False,False,False,False,False
My family is the biggest part and most important amount of every day for me. I was able to speak with my parents by phone to plan to go over there this weekend. My brother will be there too.,False,False,False,False,False,False,False,False,True,True,True,False,False,False
My family is crazy I have a aunt that never stops I told her yesterday that am done dealing with this am done frighting with everyone over this I cant' make other people do what she wants or what is right and then my sister one is the cause of all our problems the other just cares about herself and friends but then she gose crazy if anyone say anything about the problems thst my other sister caused,True,False,False,False,False,True,False,True,False,False,False,True,False,False
"My family gives me purpose and helps me diffuse from the stresses of work and the world. My children, their joy, innocence, and silliness all bring me joy.",False,False,False,False,False,False,False,False,True,False,False,False,True,False
"My family are the most important part of my life. Yesterday, I got to really spend time and connect with my girls and husband. I am very grateful for all of the time that I get with them.",False,False,False,False,False,False,False,False,True,False,False,False,True,False
My day was more productive than I feared it might not be. I reached my goal and surpassed it leaving me happy and fulfilled.,False,False,False,False,False,False,False,False,True,False,True,False,True,False
My day was good because my only son received three awards for academics and character. I was very proud of him.,False,False,False,False,False,False,False,False,True,False,True,False,False,False
"My daughter is a figure skater. She was practing yesterday afternoon at the rink running through her program  One of the moms of another skater came over to me and lavished praise on how beautiful and well done my daughters program is. This came from a mom of a girl similar to daughter in age, it meant alot to me.",False,False,False,False,False,False,False,False,False,False,True,False,False,False
My daughter had been home for a few weeks. It was time for her to go back to college. She is in her final semester and will graduate this May. I am happy and proud.,False,False,False,False,False,False,False,False,True,True,True,False,False,False
My brother came from Arizona to help me in recovering a bit more from surgery last week.,False,False,False,False,False,False,False,False,True,False,False,False,False,False
"My brother and nephew, who I don't see as much anymore, both came over to play basketball at the gym with me. My car has been down for a few weeks so I've been stuck in the house a lot lately. It felt really good to get out of the house and spend time with my family. We talked about a  lot of different things like basketball, life back in Pennsylvania, and work life. It felt like I refueled after spending time with them.",False,False,False,False,False,False,True,False,True,True,True,False,True,False
My boyfriend and I are falling into a nice routine of living together. It feels nice to reach that space of comfort and love and affection. I think we're really great together.,False,False,False,True,False,False,False,False,True,False,False,False,True,False
My blood analyses resulted very good for my age.,False,False,False,True,False,False,False,False,False,False,False,False,False,False
My adult daughter called me with a personal problem yesterday and ask for (and hoped for) my help. It was a bit difficult but I was able to help her and she was very grateful. I'm proud that I adult children respect me and know they can come to me for anything and it makes me very happy to help them.,False,False,False,False,False,False,False,False,False,False,True,False,False,False
its so nice to feel that everything i worked for was worth it,False,False,False,False,False,False,False,False,True,False,True,False,True,False
"It's nice at the end of the day to get home and have dinner with the wife and kids, and then relax in the evening until bed time.",False,False,False,True,False,False,False,False,True,False,True,False,True,False
It was the most important because I need money to live.  If I didn't have this job I couldn't afford my house my car anything in my life.  This is a must.,False,False,False,False,False,False,False,False,True,False,False,False,True,False
It was the ladies supper at church. Not my church but my mom's church. She asked me to go with her to the first dinner with her a few months ago and I've gone with her to every one since then. I always have such a great time visiting with the ladies there. We made fast friends and it's something I look forward to every month.,False,False,False,False,False,False,True,False,True,False,False,False,False,False
it was really good.  i got such a buzz off from the endorphines!,False,False,False,False,False,False,True,False,True,False,False,False,False,False
"It was my son's birthday so I spent the whole day doing things he wanted to do. It was so much fun watching him be excited by things and having a great time. At the end of the day, when I was tucking him in, he gave me the most serious and heartfelt thank I think he's ever given.",False,False,False,True,False,False,False,False,True,False,True,False,False,True
"It was just another day at work, where I didn't know if I would make good money or not so good money.",False,True,True,False,False,False,False,False,False,False,False,False,False,False
It was a great workout that made me feel worthwhile.,False,False,False,False,False,False,False,False,True,False,True,False,True,False
It was a good day worked out felt more energized and had a good overall workout,False,False,False,False,False,False,False,False,True,False,False,False,False,False
"It turned out to be a sunny and cooler day today, not rain like was expected. I got a really great hike in with the dog and was able to wear her out so she was behaved.",False,False,False,True,False,False,False,False,True,False,False,False,True,False
It is a challenge to have the family together and have them get along.  There are many differences between the children but they do want to participate in activities together.  I think that if they could just figure out how to help each other and that they could make a good team that they will be best friends.  Sometimes they surprise me with their time together and kindness and sharing with each other.  Other times they cause a lot of excitement and frustration in trying to get them to work together.  I am happy when they all can be together and enjoy each other.,False,False,False,False,False,False,True,True,True,False,False,False,False,True
In the morning I was able to complete my first workout since breaking my ankle a couple weeks ago. It was a good start and motivation to keep going. .,False,False,False,False,False,False,True,False,True,False,False,False,False,False
"In an effort to continue to try new things as it relates to freelance work I did a gig yesterday for a show being setup in Tampa. I found that the lady that hired me treats workers as slaves, talks down to us, and doesn't appear to believe any of use had brains. I'm not certain if this was based on previous experiences or her personality, but it made for a long ten hour day and many frustrations. I never walk out on jobs, because I believe I can learn something new from every experience and try to do this with each undertaking. Tomorrow is a fresh day with new horizons to conquer, so let's see what it brings.",False,False,True,False,True,False,False,True,False,False,False,False,False,False
"So yesterday, I spent most of my working time testing and debugging the new code I wrote to automatically log a user back in when they time out, AND run whatever command they were trying to run when the program realized they'd timed out. The login part works great! And the running the command part works too - as long as there's only ONE command. If a single action, like a click, triggers TWO commands - like for instance, if clicking anywhere in a widget selects it, and clicking a button within it also contacts the DB - then only the first one runs and I CAN'T FIGURE OUT WHY. I can't debug it because every time I pause the code to step through it, the behavior changes! I suppose that in itself helps me narrow it down some - it must be a timing issue in some way - but I'm really stumped. I'll work on it some more today, I guess. I hate bugs I can't trace well, I feel like I don't have a good handle on how to find them. I mostly just stare at the code until inspiration strikes.",False,False,False,False,True,False,False,True,False,False,True,False,False,False
I'm tired of having bad food. It's like there is nothing in the kitchen. Oatmeal was ok but to follow it up with tuna and mayo for lunch made me feel ill. Then sloppy joes for dinner? Too strange of a combination for me. Makes me angry.,True,False,False,False,False,True,False,True,False,False,False,False,False,False
I'm pregnant and need food. I was starving.,False,False,False,False,False,False,False,False,True,False,False,False,False,False
"I'm just returning from a trip to a beautiful, warm place and I have to spend the day in this gray, dull office looking at a computer screen and reading reports. So boring...",False,False,True,False,False,False,False,False,False,False,False,False,False,False
"I worked very hard yesterday and it paid off, as I am saving for a road trip",False,False,False,False,False,False,False,False,False,False,True,False,True,False
I worked out which is really important to me. I have been working on my health lately.,False,False,False,False,False,False,True,False,True,False,True,False,False,False
I worked out in the morning and the afternoon even when I did not feel like it. once I started I felt better.,False,False,False,False,False,False,False,False,True,False,True,False,False,False
"I worked my shift at hospice yesterday. It was, as it often is, a combination of mundane tasks and meaningful moments. There were two patients that stand out in my memory. One was a woman who was virtually non-responsive; I was glad to be able to spend a little time with her. The other was a woman who told great stories about her life and then prayed for me. I feel grateful when I leave there, and satisfied that I've connected with others.",False,False,False,False,False,False,False,False,False,False,False,False,True,False
"I worked for twelve hours yesterday. It was long and kind of boring, but I felt satisfied when it was over.",False,False,False,False,False,False,False,False,False,False,False,False,True,False
I worked all day yesterday so it was one of few things I did yesterday but I do not consider this job one of the most important jobs I've had overall. It is important to me in that it is how I support myself. I still try my hardest and am conscientious at work.,False,False,False,False,False,False,False,False,False,False,False,False,True,False
I worked all day so it was the biggest part of my day. This caused me a high deal of stress because I had a lot of work. Frustration also grew because what happened was we had a deadline to meet and it seemed impossible at the time.,False,True,False,False,True,False,False,True,False,False,False,False,False,False
I work out. I did legs and it made me feel good!,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"I work in a dog daycare and for 10 hours I'm in a loud smelly room with dogs fighting and defecating and trying to jump on me. Yesterday it was raining so we didn't get to even go outside for a run. I was exhausted and one of the dogs peed on my shoe, and it's the only pair I have so i knew it would mean I'd have wet shoes the next day. I was so exhausted and overwhelmed when I got off I cried in my car.",False,True,False,False,False,True,False,True,False,False,False,False,False,False
I went to work like every other week day.  After work I went to my gym where I am a new member and exercised with two of my friends.  It was a good workout and I felt great about myself when I was done.,False,False,False,False,False,False,False,False,True,False,True,False,True,False
I went to the gym after work instead of just sitting and watching tv and felt good to get out of the house,False,False,False,False,False,False,True,False,False,False,True,False,False,False
"I went to a scheduled appointment with my dermatologies yesterday for a laser treatment.  I had been told there was virtually no recovery time for this particular treatment, which proved to be the case.  I am alreay very pleased with the results an know they will be better with time.",False,False,False,False,False,False,False,False,True,False,False,False,True,True
